the_geom,code,id
010700000000000000,28668,6179
010700000000000000,28932,6061
010700000000000000,28937,6218
010700000000000000,28938,6233
010700000000000000,28939,6169
010700000000000000,28941,6222
010700000000000000,28942,6408
010700000000000000,28943,6236
010700000000000000,28001,6319
...,...,...
